segment,horizon,model,variable,n,rmse,mae,directional_accuracy,corr,ar_rmse,rmse_skill_vs_ar
oos_all,1,online_fixed_share,krwusd,709,0.005777557954886372,0.0042306071898860036,0.5585331452750353,0.23024667673145563,0.005914107278153399,0.023088746423562068
oos_all,1,online_fixed_share,eurusd,709,0.004210861576426867,0.0030972680331300484,0.5246826516220028,0.11123859050785208,0.004240076093967115,0.0068900927466408746
oos_all,1,online_fixed_share,sp500,709,0.009502477249825152,0.0065677906705167745,0.5260930888575458,0.02481389688915302,0.009453792059832839,-0.005149805462631996
oos_all,1,online_fixed_share,vix,709,1.8703943429589345,1.0435219220810663,0.5246826516220028,0.12091303597859525,1.8765260566949247,0.0032675878462299357
oos_all,1,online_fixed_share,us2y,709,0.057742847183175364,0.043189365082275166,0.46403385049365303,-0.012495802040875045,0.05741641901369046,-0.005685275659686573
oos_all,1,online_fixed_share,us10y,709,0.05522511234182141,0.04313830656841209,0.47390691114245415,-0.01982905369052888,0.055288517185001204,0.0011467994876338539
oos_all,1,online_fixed_share,wti,709,2.1454013864855987,1.3845810578957811,0.5119887165021156,-0.003157460179615863,2.150582376292106,0.00240911013854761
oos_all,1,online_fixed_share,brent,709,0.02649829113931937,0.018231898866418253,0.5444287729196051,0.09688782162104155,0.026955646945462947,0.016966975679304164
oos_all,1,online_fixed_share,henry_hub,709,0.11260496780459295,0.05507490207586572,0.49647390691114246,0.034416554585519905,0.11333288487814938,0.0064228231226890475
development,1,ar,audusd,332,0.005615718621267888,0.004358167902152638,0.4939759036144578,0.10228580645149071,0.005615718621267888,0.0
development,1,ar,brlusd,332,0.0071849712531804,0.00551524167551032,0.4759036144578313,-0.021379789712295007,0.0071849712531804,0.0
development,1,ar,cnyusd,332,0.0019713143697827127,0.0012259437174712746,0.49096385542168675,0.0727577904399366,0.0019713143697827127,0.0
development,1,ar,krwusd,332,0.0053704050942071134,0.003921510362288393,0.5030120481927711,0.0344075555292705,0.0053704050942071134,0.0
development,1,ar,eurusd,332,0.003989786652668768,0.0029716695098133622,0.536144578313253,0.016516233249620847,0.003989786652668768,0.0
development,1,ar,sp500,332,0.007950049162536357,0.006003683063129269,0.5,-0.05829065307806226,0.007950049162536357,0.0
development,1,ar,vix,332,1.6230865304947135,0.852449384121052,0.5180722891566265,0.14313937767862506,1.6230865304947135,0.0
development,1,ar,us2y,332,0.06426158904756346,0.04803493912516371,0.46686746987951805,-0.001058690187111944,0.06426158904756346,0.0
development,1,ar,us10y,332,0.06335158780525886,0.049816432803180634,0.4608433734939759,-0.08612212301919175,0.06335158780525886,0.0
development,1,ar,wti,332,1.4480151474331922,1.1324513526890148,0.5030120481927711,-0.025072844649621524,1.4480151474331922,0.0
development,1,ar,brent,332,0.01869698181607249,0.01428385932351633,0.5,0.044458779083374554,0.01869698181607249,0.0
development,1,ar,henry_hub,332,0.1103104062878107,0.05809195375047997,0.49096385542168675,0.007535486108197826,0.1103104062878107,0.0
development,1,financial_direct_sparse,audusd,332,0.005594955142789405,0.004346312136581465,0.5451807228915663,0.14818015302476334,0.005615718621267888,0.0036973858340850763
development,1,financial_direct_sparse,brlusd,332,0.0072716055696481945,0.005524804282250503,0.5,-0.057481600282625146,0.0071849712531804,-0.012057712329669457
development,1,financial_direct_sparse,cnyusd,332,0.0019678775318305347,0.001279966659301914,0.49096385542168675,0.11841848509333167,0.0019713143697827127,0.0017434245926776226
development,1,financial_direct_sparse,krwusd,332,0.004944251487650304,0.003675394363951893,0.6144578313253012,0.3979544159049334,0.0053704050942071134,0.07935222745421722
development,1,financial_direct_sparse,eurusd,332,0.003984625248506565,0.0029698139646314784,0.5030120481927711,0.09129392317788705,0.003989786652668768,0.001293654175405945
development,1,financial_direct_sparse,sp500,332,0.007949253911507847,0.006027110769812781,0.536144578313253,0.007883059889441602,0.007950049162536357,0.00010003095732513678
development,1,financial_direct_sparse,vix,332,1.6256408728106353,0.8527211080779552,0.5301204819277109,0.13236032327653804,1.6230865304947135,-0.0015737560924389271
development,1,financial_direct_sparse,us2y,332,0.06444549279775164,0.04840884853071938,0.4879518072289157,0.005131513064637519,0.06426158904756346,-0.00286179898309169
development,1,financial_direct_sparse,us10y,332,0.0630698790659577,0.04913532828849064,0.4789156626506024,-0.026968643031570254,0.06335158780525886,0.004446751045405817
development,1,financial_direct_sparse,wti,332,1.4536809615289703,1.1357116135091374,0.49698795180722893,0.011340331262640172,1.4480151474331922,-0.003912814106828755
development,1,financial_direct_sparse,brent,332,0.01797363232401681,0.013536724658203466,0.5783132530120482,0.19959822510090403,0.01869698181607249,0.03868803527603937
development,1,financial_direct_sparse,henry_hub,332,0.10952231588140131,0.0579682755866835,0.5120481927710844,0.0017643640398174204,0.1103104062878107,0.007144297921931275
development,1,candidate_overlay_survival,audusd,332,0.005594955142789405,0.004346312136581465,0.5451807228915663,0.14818015302476334,0.005615718621267888,0.0036973858340850763
development,1,candidate_overlay_survival,brlusd,332,0.007334960731213689,0.00558033007161511,0.4939759036144578,-0.09508946950610567,0.0071849712531804,-0.020875445808763216
development,1,candidate_overlay_survival,cnyusd,332,0.0019685666942874528,0.001279850621417613,0.4879518072289157,0.12613983090820935,0.0019713143697827127,0.0013938291818786919
development,1,candidate_overlay_survival,krwusd,332,0.00495316288770569,0.0036762503805072722,0.6174698795180723,0.3922466776648722,0.0053704050942071134,0.07769287403504987
development,1,candidate_overlay_survival,eurusd,332,0.003998646841590759,0.0029706395346274024,0.49698795180722893,0.09442252651547474,0.003989786652668768,-0.0022207174702095767
development,1,candidate_overlay_survival,sp500,332,0.008028302476840348,0.006121430862439966,0.5150602409638554,-0.0162664244957389,0.007950049162536357,-0.009843123319632996
development,1,candidate_overlay_survival,vix,332,1.6348457893000934,0.8596061385194309,0.5180722891566265,0.09161040033471646,1.6230865304947135,-0.007244998085096377
development,1,candidate_overlay_survival,us2y,332,0.06456018953924503,0.04858678551939764,0.48493975903614456,0.005370563702279154,0.06426158904756346,-0.0046466403353417896
development,1,candidate_overlay_survival,us10y,332,0.06319928406393545,0.0492753087255502,0.47289156626506024,-0.04020810499810548,0.06335158780525886,0.0024041029846259
development,1,candidate_overlay_survival,wti,332,1.4536809615289703,1.1357116135091374,0.49698795180722893,0.011340331262640172,1.4480151474331922,-0.003912814106828755
development,1,candidate_overlay_survival,brent,332,0.018045091432407463,0.013566469488834807,0.5783132530120482,0.18062503177145184,0.01869698181607249,0.03486607571627631
development,1,candidate_overlay_survival,henry_hub,332,0.10943815287307505,0.05780708505530371,0.5240963855421686,0.007817822629836688,0.1103104062878107,0.007907263186574198
development,1,candidate_overlay_adaptive,audusd,332,0.005594955142789405,0.004346312136581465,0.5451807228915663,0.14818015302476334,0.005615718621267888,0.0036973858340850763
development,1,candidate_overlay_adaptive,brlusd,332,0.0072716055696481945,0.005524804282250503,0.5,-0.057481600282625146,0.0071849712531804,-0.012057712329669457
development,1,candidate_overlay_adaptive,cnyusd,332,0.001972579932746582,0.0012847908386027255,0.49096385542168675,0.1093407268620912,0.0019713143697827127,-0.0006419894174509722
development,1,candidate_overlay_adaptive,krwusd,332,0.004945091569365439,0.0036754413809589686,0.6144578313253012,0.3974643559924047,0.0053704050942071134,0.07919579945662703
development,1,candidate_overlay_adaptive,eurusd,332,0.003984732943739612,0.00296996255153792,0.5090361445783133,0.09182834678321171,0.003989786652668768,0.0012666614456128267
development,1,candidate_overlay_adaptive,sp500,332,0.007997020649805753,0.006070075341129561,0.5240963855421686,-0.032543891179661624,0.007950049162536357,-0.0059083266416444236
development,1,candidate_overlay_adaptive,vix,332,1.6256408728106353,0.8527211080779552,0.5301204819277109,0.13236032327653804,1.6230865304947135,-0.0015737560924389271
development,1,candidate_overlay_adaptive,us2y,332,0.06445662457953809,0.04844251453195949,0.4789156626506024,0.003548635926784874,0.06426158904756346,-0.003035025041635331
