source,target,selection_frequency,mean_strength,latest_strength,sign_stability
vix,wti,0.0,0.002760419760755529,0.017095997266164405,
pw_bab_el_mandeb_strait_n_total_z,brent,0.0,0.002675766114442576,0.0,
vix,eurusd,0.0,0.002654874321521972,0.0,
pw_panama_canal_capacity_z,cnyusd,0.0,0.002596829647343086,0.0,
pw_strait_of_hormuz_capacity_z,krwusd,0.0,0.002545802319599214,0.0,
henry_hub,pw_cape_of_good_hope_n_total_z,0.0,0.002502250377439945,0.0,
pw_cape_of_good_hope_capacity_z,pw_cape_of_good_hope_n_total_z,0.0,0.002473212257503054,0.0,
pw_suez_canal_capacity_z,us10y,0.0,0.0024611010206872525,0.0,
pw_bab_el_mandeb_strait_n_total_z,audusd,0.0,0.0023635557982319383,0.0,
henry_hub,pw_suez_canal_n_total_z,0.0,0.0022855734542503773,0.0,
wti,pw_cape_of_good_hope_capacity_z,0.0,0.0022768296807794486,0.0,
henry_hub,wti,0.0,0.002270371062063529,0.0,
eurusd,pw_suez_canal_n_total_z,0.0,0.0022296827007332242,0.0,
pw_cape_of_good_hope_capacity_z,pw_panama_canal_capacity_z,0.0,0.0021047051016147666,0.0,
pw_bab_el_mandeb_strait_capacity_z,sp500,0.0,0.00207428343440551,0.00029567689564545806,
pw_panama_canal_n_total_z,us10y,0.0,0.002050112056822925,0.0,
pw_cape_of_good_hope_capacity_z,eurusd,0.0,0.0019913774117749946,0.0,
pw_panama_canal_n_total_z,pw_suez_canal_n_total_z,0.0,0.0019382023813011285,0.0,
pw_malacca_strait_n_total_z,brlusd,0.0,0.0018821876271897158,0.01097217006836488,
pw_panama_canal_n_total_z,us2y,0.0,0.0017869213986990335,0.0,
pw_cape_of_good_hope_n_total_z,pw_bab_el_mandeb_strait_n_total_z,0.0,0.0017811563970321744,0.005301173220379584,
pw_panama_canal_n_total_z,sp500,0.0,0.0017498745264687707,0.0,
pw_cape_of_good_hope_n_total_z,us2y,0.0,0.001748643866670468,0.0,
pw_suez_canal_n_total_z,vix,0.0,0.0016948920454187015,0.0,
pw_cape_of_good_hope_capacity_z,us2y,0.0,0.001684092207212681,0.0025769615979780473,
us2y,vix,0.0,0.00166986649780405,0.0,
henry_hub,pw_bab_el_mandeb_strait_n_total_z,0.0,0.0016004092811561618,0.0,
wti,us2y,0.0,0.0015613125586646437,0.0,
pw_strait_of_hormuz_capacity_z,us10y,0.0,0.0014729786405696284,0.0,
krwusd,pw_cape_of_good_hope_n_total_z,0.0,0.0014327754738447168,0.0,
audusd,pw_bab_el_mandeb_strait_capacity_z,0.0,0.001416494800748396,0.0,
henry_hub,pw_strait_of_hormuz_n_total_z,0.0,0.001329552490392426,0.0,
pw_bab_el_mandeb_strait_capacity_z,brlusd,0.0,0.0012819015816754214,0.0,
pw_suez_canal_n_total_z,wti,0.0,0.0012203991273840714,0.0,
pw_cape_of_good_hope_n_total_z,wti,0.0,0.0011837352117371233,0.0,
pw_strait_of_hormuz_n_total_z,krwusd,0.0,0.0011281971643775455,0.0,
pw_suez_canal_capacity_z,eurusd,0.0,0.001007292221337737,0.0,
pw_strait_of_hormuz_capacity_z,henry_hub,0.0,0.0009241433488270268,0.0,
wti,pw_strait_of_hormuz_capacity_z,0.0,0.0009171838878370358,0.0,
krwusd,brent,0.0,0.0009085632021753852,0.0,
cnyusd,pw_cape_of_good_hope_capacity_z,0.0,0.0008085638247291472,0.0,
pw_strait_of_hormuz_capacity_z,eurusd,0.0,0.0008057767295011373,0.0,
pw_bab_el_mandeb_strait_n_total_z,eurusd,0.0,0.0007724488883541959,0.0,
pw_cape_of_good_hope_capacity_z,brlusd,0.0,0.000720356177993094,0.0008500613986856341,
sp500,henry_hub,0.0,0.0007059179300278113,0.0,
audusd,cnyusd,0.0,0.0007052750549942683,0.0,
pw_cape_of_good_hope_n_total_z,audusd,0.0,0.000698958411599004,0.0,
pw_malacca_strait_capacity_z,cnyusd,0.0,0.0006768189914379869,0.0,
krwusd,wti,0.0,0.0006328685084790116,0.0,
pw_cape_of_good_hope_n_total_z,pw_strait_of_hormuz_capacity_z,0.0,0.0006006935277171213,0.0,
audusd,pw_bab_el_mandeb_strait_n_total_z,0.0,0.0005199049928842755,0.0,
pw_strait_of_hormuz_n_total_z,audusd,0.0,0.0004958875193023006,0.0,
pw_malacca_strait_capacity_z,pw_panama_canal_capacity_z,0.0,0.0004901474542284752,0.0,
pw_panama_canal_capacity_z,pw_bab_el_mandeb_strait_n_total_z,0.0,0.0004882330571322787,0.0,
audusd,pw_cape_of_good_hope_n_total_z,0.0,0.00046126584788221657,0.0,
pw_malacca_strait_capacity_z,eurusd,0.0,0.00040810468569966855,0.0,
wti,pw_suez_canal_capacity_z,0.0,0.0003832949858226325,0.0,
brlusd,pw_cape_of_good_hope_n_total_z,0.0,0.00036823219078470435,0.0,
pw_strait_of_hormuz_n_total_z,pw_suez_canal_capacity_z,0.0,0.0003656498282924517,0.0,
pw_panama_canal_capacity_z,pw_suez_canal_capacity_z,0.0,0.00036230114525140166,0.0,
pw_suez_canal_n_total_z,pw_strait_of_hormuz_n_total_z,0.0,0.00034243039101314516,0.0,
pw_malacca_strait_n_total_z,us2y,0.0,0.00033805524844519495,0.0,
pw_cape_of_good_hope_n_total_z,brent,0.0,0.00032370414932959824,0.0,
pw_strait_of_hormuz_n_total_z,pw_malacca_strait_capacity_z,0.0,0.0002845086465185589,0.002488377919001747,
krwusd,pw_bab_el_mandeb_strait_n_total_z,0.0,0.0002685360196941226,0.0,
henry_hub,eurusd,0.0,0.00026244172476018224,0.0,
brlusd,pw_cape_of_good_hope_capacity_z,0.0,0.0002571693707002827,0.0,
pw_suez_canal_n_total_z,pw_malacca_strait_capacity_z,0.0,0.00023308384952706472,0.0,
pw_strait_of_hormuz_n_total_z,brent,0.0,0.00021538588076703885,0.0,
pw_bab_el_mandeb_strait_capacity_z,us2y,0.0,0.0001942793286054495,0.0,
pw_bab_el_mandeb_strait_n_total_z,pw_suez_canal_capacity_z,0.0,0.00019149331268086977,0.002123701399983677,
pw_cape_of_good_hope_n_total_z,cnyusd,0.0,0.00018406158145802462,0.0,
pw_bab_el_mandeb_strait_capacity_z,vix,0.0,0.00018047856783460695,0.0,
pw_cape_of_good_hope_capacity_z,audusd,0.0,0.00018010367970426738,0.0,
brent,henry_hub,0.0,0.00017606871262037087,0.0,
pw_strait_of_hormuz_capacity_z,us2y,0.0,0.00015558626400358374,0.0,
pw_bab_el_mandeb_strait_n_total_z,krwusd,0.0,0.00015534803542301254,0.0,
brlusd,pw_suez_canal_n_total_z,0.0,0.0001520731661472585,0.0,
wti,henry_hub,0.0,0.00014608403029187225,0.0,
pw_suez_canal_n_total_z,audusd,0.0,0.00013809244239657828,0.0,
krwusd,pw_panama_canal_capacity_z,0.0,0.0001354538328753402,0.0,
cnyusd,pw_bab_el_mandeb_strait_capacity_z,0.0,0.00011529921369934825,0.0,
sp500,pw_cape_of_good_hope_n_total_z,0.0,0.0001139009883446458,0.0,
pw_malacca_strait_n_total_z,pw_panama_canal_n_total_z,0.0,0.00010629757203565638,0.0,
cnyusd,brent,0.0,0.0001044782082054398,0.0,
pw_suez_canal_capacity_z,wti,0.0,9.703085858705437e-05,0.0,
us2y,pw_strait_of_hormuz_n_total_z,0.0,9.461622300768705e-05,0.0,
pw_cape_of_good_hope_n_total_z,pw_strait_of_hormuz_n_total_z,0.0,9.408132411078772e-05,0.0,
pw_panama_canal_n_total_z,brent,0.0,8.986533963380855e-05,0.0,
us10y,pw_suez_canal_n_total_z,0.0,8.665182748531937e-05,0.0,
wti,pw_bab_el_mandeb_strait_n_total_z,0.0,7.574490751475429e-05,0.0,
pw_panama_canal_n_total_z,cnyusd,0.0,6.795847851832733e-05,0.0,
pw_panama_canal_n_total_z,eurusd,0.0,6.473796446248958e-05,0.0,
us10y,pw_suez_canal_capacity_z,0.0,6.345273396047005e-05,0.0,
vix,brent,0.0,6.147047037778707e-05,0.0,
pw_panama_canal_capacity_z,brent,0.0,6.002428544826539e-05,0.0,
pw_malacca_strait_capacity_z,pw_cape_of_good_hope_n_total_z,0.0,5.8838405613964055e-05,0.0,
pw_bab_el_mandeb_strait_capacity_z,krwusd,0.0,5.787877874776291e-05,0.0,
pw_panama_canal_capacity_z,pw_panama_canal_n_total_z,0.0,5.321431222945651e-05,0.0,
pw_malacca_strait_capacity_z,pw_suez_canal_capacity_z,0.0,5.16460498352313e-05,0.0,
pw_malacca_strait_capacity_z,vix,0.0,5.1295532179553385e-05,0.0,
pw_panama_canal_capacity_z,audusd,0.0,5.1136555499023164e-05,0.0,
cnyusd,pw_malacca_strait_capacity_z,0.0,4.974624138147813e-05,0.0,
us10y,pw_cape_of_good_hope_capacity_z,0.0,4.757712641168293e-05,0.0,
henry_hub,us10y,0.0,4.357622311726992e-05,0.0,
brent,pw_bab_el_mandeb_strait_capacity_z,0.0,4.1597307067560705e-05,0.0,
wti,eurusd,0.0,3.592791063632309e-05,0.0,
pw_cape_of_good_hope_capacity_z,krwusd,0.0,3.130017861283965e-05,0.0,
vix,pw_strait_of_hormuz_n_total_z,0.0,2.981495911387995e-05,0.0,
pw_cape_of_good_hope_capacity_z,pw_bab_el_mandeb_strait_n_total_z,0.0,2.8198269331223085e-05,0.0,
pw_strait_of_hormuz_n_total_z,pw_malacca_strait_n_total_z,0.0,1.704344346557754e-05,0.0,
pw_cape_of_good_hope_n_total_z,sp500,0.0,1.1203502203901092e-05,0.0,
pw_cape_of_good_hope_n_total_z,pw_malacca_strait_capacity_z,0.0,9.170666384802083e-06,0.0,
brlusd,pw_panama_canal_capacity_z,0.0,8.97474458644141e-06,0.0,
krwusd,brlusd,0.0,8.369884020432446e-06,0.0,
pw_cape_of_good_hope_n_total_z,krwusd,0.0,5.030100459777068e-06,0.0,
audusd,pw_cape_of_good_hope_capacity_z,0.0,1.1704426981856876e-06,0.0,
pw_malacca_strait_capacity_z,pw_strait_of_hormuz_capacity_z,0.0,1.1467169691287655e-06,0.0,
pw_malacca_strait_capacity_z,us10y,0.0,0.0,0.0,
pw_malacca_strait_capacity_z,sp500,0.0,0.0,0.0,
pw_malacca_strait_capacity_z,audusd,0.0,0.0,0.0,
pw_malacca_strait_capacity_z,wti,0.0,0.0,0.0,
