segment,model,variable,n,rmse,mae,directional_accuracy,corr,ar_rmse,rmse_skill_vs_ar
oos_all,ar,wti,709,2.150582376292106,1.3888777499498415,0.5204513399153737,-0.0582429435855258,2.150582376292106,0.0
oos_all,financial_sparse_var,wti,709,2.145275148638007,1.3838294438189864,0.5077574047954866,-0.002739258842226721,2.150582376292106,0.002467809516438657
oos_all,full_sparse_var,wti,709,2.1448905980137156,1.3872862938630914,0.5077574047954866,0.0030567486713341213,2.150582376292106,0.0026466218365481797
oos_all,stability_filtered_full,wti,709,2.1436947185278763,1.3830038174183588,0.5077574047954866,0.003161535741375263,2.150582376292106,0.003202694228390812
final_holdout,ar,audusd,377,0.006039754767829864,0.0043473287196364304,0.44297082228116713,-0.03558324710560158,0.006039754767829864,0.0
final_holdout,financial_sparse_var,audusd,377,0.005549521269203705,0.004158034953146622,0.5411140583554377,0.4057185552284357,0.006039754767829864,0.08116778204925434
final_holdout,full_sparse_var,audusd,377,0.00554762288155961,0.004149055834250637,0.5464190981432361,0.40797830183672595,0.006039754767829864,0.08148209740096468
final_holdout,stability_filtered_full,audusd,377,0.0055303210673387755,0.004140626100945267,0.5543766578249337,0.4183141234791486,0.006039754767829864,0.08434675248812007
final_holdout,ar,brent,377,0.032536642752963515,0.022521783465006363,0.5278514588859416,0.009727121108614588,0.032536642752963515,0.0
final_holdout,financial_sparse_var,brent,377,0.032163012728075153,0.022345057119843626,0.519893899204244,0.06730988584374675,0.032536642752963515,0.01148336132050165
final_holdout,full_sparse_var,brent,377,0.032049583484528646,0.022350166272927397,0.4960212201591512,0.08631233294889692,0.032536642752963515,0.014969561307627721
final_holdout,stability_filtered_full,brent,377,0.0320502345197488,0.022202135543649054,0.5039787798408488,0.08023825261266633,0.032536642752963515,0.014949552014563938
final_holdout,ar,brlusd,377,0.0068908919611827164,0.005197526445518403,0.4880636604774536,0.05358011279886042,0.0068908919611827164,0.0
final_holdout,financial_sparse_var,brlusd,377,0.006778092713651269,0.00517068956855101,0.4880636604774536,0.1891751932238093,0.0068908919611827164,0.016369324634149085
final_holdout,full_sparse_var,brlusd,377,0.00678772836573644,0.00517585013546828,0.519893899204244,0.1744920640766109,0.0068908919611827164,0.01497100753101488
final_holdout,stability_filtered_full,brlusd,377,0.006763691182718819,0.005165855793621042,0.519893899204244,0.20521758775003637,0.0068908919611827164,0.01845926175891832
final_holdout,ar,cnyusd,377,0.0015082024056525367,0.0010598918774511678,0.5092838196286472,-0.07831471260501502,0.0015082024056525367,0.0
