horizon,source,target,weighted_selection_frequency,weighted_sign_stability,weighted_mean_strength,latest_strength,strength_retention,n_contributions,weighted_mean_loss_improvement,contribution_hit_rate,contribution_t_stat,survival_score
10,pw_malacca_strait_n_total_z,wti,0.008727672602834744,1.0,0.0009707291450135049,0.0,0.0,80,-1.3828164165328747,0.4166082536190313,-4.126094472756981,0.0
10,pw_panama_canal_n_total_z,us10y,0.008727672602834744,1.0,0.0009561915580971744,0.0,0.0,80,-0.004944422340721095,0.37480495225070937,-4.700413775499294,0.0
10,pw_strait_of_hormuz_n_total_z,cnyusd,0.008727672602834744,1.0,0.003739153604615306,0.0,0.0,80,-5.545039497088287e-06,0.4341659543614002,-3.383392796508006,0.0
10,pw_panama_canal_capacity_z,sp500,0.007839514789682346,1.0,0.004811757033913415,0.0,0.0,60,-0.00013233426984795885,0.2513841345089111,-6.583682317123377,0.0
10,pw_bab_el_mandeb_strait_capacity_z,audusd,0.007210493937204866,1.0,0.0010378689620358914,0.0,0.0,60,-0.00015782948966956397,0.06275282728880527,-8.319470449928213,0.0
10,pw_strait_of_hormuz_n_total_z,eurusd,0.006912681944787929,1.0,0.0031570561712869717,0.0,0.0,60,-6.922671351708055e-06,0.535911779455756,-1.7465655046405266,0.0
10,pw_suez_canal_capacity_z,audusd,0.006322336124052467,1.0,0.0010931118788506519,0.0,0.0,40,-8.427054877098356e-05,0.22176970125714326,-5.618806952129952,0.0
10,pw_bab_el_mandeb_strait_n_total_z,brent,0.006141043440714848,1.0,0.001298967894290269,0.0,0.0,60,-0.00042101230946198253,0.27114993167966844,-4.228395468212895,0.0
10,pw_panama_canal_n_total_z,brlusd,0.006141043440714848,1.0,0.001109126213379913,0.0,0.0,60,-2.055737008038263e-05,0.5611385664987901,-1.3509297091226145,0.0
10,pw_cape_of_good_hope_n_total_z,audusd,0.005188865759373869,1.0,0.0008230159027707927,0.0,0.0,40,-0.00011338235703600518,0.0,-9.504128295119969,0.0
10,pw_strait_of_hormuz_capacity_z,eurusd,0.005188865759373869,1.0,0.0014349899770867178,0.0,0.0,40,-2.0126340968573664e-06,0.3912761310193099,-0.8322357833845734,0.0
10,cnyusd,eurusd,0.0038366188358778123,1.0,0.00881953389227365,0.013204907753227076,1.4972341979200547,40,-6.335230993859671e-06,0.421816152279488,-1.5623337616914095,0.0
10,pw_bab_el_mandeb_strait_capacity_z,cnyusd,0.0038366188358778123,1.0,0.000755910776009428,0.0,0.0,40,-2.6312190293759288e-05,0.13152374098088304,-5.094094303597508,0.0
10,pw_bab_el_mandeb_strait_capacity_z,vix,0.0038366188358778123,1.0,0.018576222011551586,0.02198384579369994,1.1834400870117363,40,-2.343312633317258,0.17440938224886202,-5.564155898528094,0.0
10,pw_suez_canal_n_total_z,eurusd,0.0038366188358778123,1.0,0.0003769224716039487,0.0,0.0,40,-0.00012018729184149051,0.029349151920353166,-5.584598912059156,0.0
10,pw_bab_el_mandeb_strait_n_total_z,henry_hub,0.0037870467569755574,1.0,0.007493511537984163,0.0,0.0,20,-0.030777483366180674,0.0,-6.601002298088393,0.0
10,pw_suez_canal_capacity_z,henry_hub,0.0037870467569755574,1.0,0.0006328913479214665,0.0,0.0,20,-0.05132308757349964,0.05107606309263115,-6.28208678553286,0.0
10,pw_cape_of_good_hope_capacity_z,wti,0.0023044246048370353,1.0,0.011272595581422278,0.017345743375467845,1.5387532756035687,20,-2.1576845265836684,0.35396595960016214,-2.4735302134389756,0.0
10,pw_suez_canal_capacity_z,wti,0.0020216281778309966,1.0,0.0013902167362617715,0.0,0.0,20,-1.3888423543712476,0.2653606212894325,-2.314457072009783,0.0
10,pw_bab_el_mandeb_strait_capacity_z,krwusd,0.0018149906580468154,1.0,0.00035220905578295294,0.0,0.0,20,-9.660615912119349e-05,0.267275277206497,-3.987698129129181,0.0
10,pw_bab_el_mandeb_strait_capacity_z,eurusd,0.0018149906580468154,1.0,0.0004111093991060718,0.0,0.0,20,-9.954826100843866e-05,0.0,-11.386935059382832,0.0
10,pw_bab_el_mandeb_strait_capacity_z,sp500,0.0018149906580468154,1.0,0.004808607562593359,0.0004866483841705296,0.10120359747304317,20,-0.00023998526497924903,0.0,-7.668398122110596,0.0
10,pw_bab_el_mandeb_strait_capacity_z,brent,0.0018149906580468154,1.0,0.0007165263002769315,0.0,0.0,20,-0.0004843559017853414,0.25556555509471895,-3.3551412986172586,0.0
10,pw_malacca_strait_capacity_z,brlusd,0.0018149906580468154,1.0,0.013552701266506293,0.0,0.0,20,-8.091747788710113e-05,0.09235537747114902,-3.8881434645204296,0.0
10,pw_suez_canal_capacity_z,us10y,0.0018149906580468154,1.0,0.0010207856380618605,0.0,0.0,20,-0.0034709225418704157,0.055073435823353216,-6.642081472292946,0.0
10,pw_suez_canal_n_total_z,audusd,0.0018149906580468154,1.0,0.0005158619987693896,0.0,0.0,20,-0.00030914854901339397,0.0,-13.425428274342137,0.0
10,pw_suez_canal_n_total_z,sp500,0.0018149906580468154,1.0,0.0001157165419074936,0.0,0.0,20,-0.00025073836096180783,0.0,-11.009751995755725,0.0
10,audusd,brlusd,0.0,,0.00012497343164886992,0.0,0.0,0,,,,0.0
10,audusd,cnyusd,0.0,,0.00015235929538103948,0.0,0.0,0,,,,0.0
10,audusd,eurusd,0.0,,0.011646152337177203,0.02039317429025802,1.7510653905117062,0,,,,0.0
10,audusd,sp500,0.0,,0.0002414734315377579,0.0,0.0,0,,,,0.0
10,audusd,vix,0.0,,0.0005305963079492756,0.0002747156779593634,0.517748943676453,0,,,,0.0
10,audusd,us2y,0.0,,0.00018534103745204713,0.0,0.0,0,,,,0.0
10,audusd,us10y,0.0,,0.0,0.0,0.0,0,,,,0.0
10,audusd,wti,0.0,,0.00512209506430283,0.0,0.0,0,,,,0.0
10,audusd,brent,0.0,,0.001471265389796232,0.0,0.0,0,,,,0.0
10,audusd,henry_hub,0.0,,0.00013781984635410024,0.0,0.0,0,,,,0.0
10,brlusd,audusd,0.0,,1.6292718314583276e-05,0.0,0.0,0,,,,0.0
10,brlusd,cnyusd,0.0,,0.007642185624050536,0.0027416988760658153,0.35875847708245684,0,,,,0.0
10,brlusd,krwusd,0.0,,0.0012073633761913968,0.0,0.0,0,,,,0.0
10,brlusd,eurusd,0.0,,4.129968582753184e-05,0.0,0.0,0,,,,0.0
10,brlusd,sp500,0.0,,0.0,0.0,0.0,0,,,,0.0
10,brlusd,us2y,0.0,,0.02641490582512815,0.02360389213554088,0.8935822937171637,0,,,,0.0
10,brlusd,us10y,0.0,,0.0024286165518452424,0.0006461881771611352,0.2660725410399459,0,,,,0.0
10,brlusd,wti,0.0,,8.909593119068654e-06,0.0,0.0,0,,,,0.0
10,brlusd,brent,0.0,,0.00808466603516288,0.0059531454964821704,0.7363502055112698,0,,,,0.0
10,brlusd,henry_hub,0.0,,0.0009509193112007137,0.00023482958955576614,0.24695006904345,0,,,,0.0
10,cnyusd,audusd,0.0,,0.0,0.0,0.0,0,,,,0.0
10,cnyusd,krwusd,0.0,,0.0064233386992092805,0.007905145248420179,1.230691018892295,0,,,,0.0
10,cnyusd,sp500,0.0,,1.0250003214338543e-05,0.0,0.0,0,,,,0.0
10,cnyusd,vix,0.0,,0.0,0.0,0.0,0,,,,0.0
10,cnyusd,wti,0.0,,0.0,0.0,0.0,0,,,,0.0
10,cnyusd,brent,0.0,,0.0,0.0,0.0,0,,,,0.0
10,cnyusd,henry_hub,0.0,,0.002209400140083418,0.0,0.0,0,,,,0.0
10,krwusd,brlusd,0.0,,7.343952475362629e-06,0.0,0.0,0,,,,0.0
10,krwusd,eurusd,0.0,,1.111979880891658e-05,0.0,0.0,0,,,,0.0
10,krwusd,sp500,0.0,,0.027474539190141617,0.02951447019274956,1.0742480515684103,0,,,,0.0
10,krwusd,vix,0.0,,0.0004057634973436626,0.0,0.0,0,,,,0.0
